"dateaccessed";"url";"manufacturer";"model";"alsoKnownAs";"releaseDate";"power";"incomePDay";"electricityPDay";"graphlabels";"graphdata"
"17/06/2022 19:56:22";"https://www.asicminervalue.com/miners/goldshell/kd-max";"Goldshell";"KD Max";"June 2022";"200 x 264 x 290mm";"3350W";"40.71";"-9.65";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"30.63,30.46,27.85,29.06,23.47,28.44,31.59,34.73,37.14,37.83,38.16,39.84,37.92,36.36,39.5,39.34,42.01,45.53,45.57,42.26,41.28,41.8,43.77,47.13,48.79,54.1,54.35,55.37,55.56,52.4,58.23,68.3,66.01,67.47,44.08,46.76,31.35,43.07,58.68,66.07,72.38,79.84,81.37,91.8,92,89.7,89.92,89.57,94.19,107.88,114.11,116.22,123.83,121.64,131.44,131.16,130.3,139.61,143.86,142,136.99,143.62,143.46,145.33,150.05,145.57,144.6,152.17,170.65,168.45,176.5,177.25,190.58,204.58,205.09,205.48,200.41,181.28,186.6,185.17,191.04,197.5,189.42,188.18,186.81,178.92,173.04,172.61,170.08,174.26,179.28"
"17/06/2022 19:56:27";"https://www.asicminervalue.com/miners/ibelink/bm-k1-max";"iBeLink";"BM-K1 Max";"BM-K1 Max Kadena";"June 2022";"3200W";"32.40";"-9.22";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"22.85,22.71,20.63,21.59,17.15,21.1,23.61,26.11,28.02,28.58,28.84,30.18,28.65,27.4,29.9,29.78,31.9,34.71,34.74,32.1,31.32,31.74,33.31,35.98,37.31,41.53,41.73,42.54,42.69,40.17,44.82,52.83,51.01,52.18,33.56,35.69,23.42,32.75,45.18,51.06,56.08,62.02,63.24,71.54,71.7,69.87,70.05,69.76,73.44,84.34,89.3,90.98,97.03,95.29,103.09,102.87,102.18,109.6,112.98,111.5,107.51,112.79,112.66,114.15,117.91,114.34,113.57,119.59,134.31,132.56,138.96,139.56,150.17,161.31,161.72,162.03,157.99,142.76,147,145.87,150.54,155.68,149.25,148.26,147.17,140.89,136.2,135.86,133.85,137.18,141.17"
"17/06/2022 19:56:31";"https://www.asicminervalue.com/miners/goldshell/kd6";"Goldshell";"KD6";"KD6 Kadena miner";"April 2022";"2630W";"29.57";"-7.37";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"21.89,21.76,19.86,20.74,16.68,20.29,22.58,24.86,26.61,27.11,27.35,28.57,27.18,26.04,28.32,28.21,30.15,32.71,32.73,30.33,29.62,30,31.43,33.87,35.08,38.93,39.12,39.86,39.99,37.69,41.93,49.25,47.58,48.65,31.66,33.6,22.41,30.92,42.26,47.63,52.21,57.63,58.74,66.32,66.46,64.79,64.95,64.7,68.05,78,82.52,84.05,89.58,87.99,95.11,94.9,94.28,101.05,104.13,102.78,99.14,103.96,103.84,105.2,108.63,105.37,104.67,110.17,123.59,121.99,127.84,128.38,138.07,148.23,148.61,148.89,145.2,131.31,135.17,134.14,138.4,143.09,137.22,136.32,135.33,129.6,125.32,125.01,123.18,126.21,129.86"
"17/06/2022 19:56:35";"https://www.asicminervalue.com/miners/goldshell/kd-lite";"Goldshell";"KD Lite";"June 2022";"264 x 200 x 290mm";"1330W";"16.40";"-3.83";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"12.4,12.33,11.28,11.77,9.52,11.52,12.79,14.05,15.02,15.3,15.43,16.11,15.34,14.71,15.97,15.91,16.99,18.41,18.42,17.09,16.69,16.9,17.7,19.05,19.72,21.86,21.96,22.37,22.45,21.17,23.52,27.58,26.66,27.25,17.82,18.9,12.69,17.41,23.71,26.68,29.23,32.23,32.85,37.05,37.13,36.21,36.3,36.15,38.01,43.53,46.04,46.89,49.96,49.08,53.03,52.91,52.56,56.32,58.03,57.28,55.26,57.93,57.87,58.62,60.53,58.72,58.33,61.38,68.83,67.94,71.19,71.49,76.86,82.5,82.71,82.86,80.82,73.11,75.25,74.68,77.04,79.65,76.39,75.89,75.34,72.16,69.79,69.62,68.6,70.28,72.3"
"17/06/2022 19:56:40";"https://www.asicminervalue.com/miners/goldshell/kd5";"Goldshell";"KD5";"KD5 Kadena miner";"March 2021";"2250W";"18.23";"-6.48";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"11.56,11.48,10.31,10.85,8.35,10.58,11.98,13.39,14.47,14.78,14.93,15.68,14.82,14.12,15.52,15.46,16.65,18.23,18.24,16.76,16.32,16.56,17.44,18.94,19.69,22.07,22.18,22.63,22.72,21.3,23.91,28.42,27.4,28.05,17.58,18.78,11.88,17.13,24.12,27.43,30.25,33.59,34.28,38.95,39.04,38.01,38.1,37.95,40.01,46.15,48.93,49.88,53.28,52.3,56.69,56.57,56.18,60.35,62.25,61.42,59.18,62.15,62.07,62.91,65.03,63.02,62.59,65.98,74.25,73.27,76.87,77.2,83.17,89.44,89.67,89.85,87.57,79.01,81.39,80.75,83.38,86.27,82.65,82.1,81.49,77.95,75.32,75.13,74,75.87,78.11"
"17/06/2022 19:56:44";"https://www.asicminervalue.com/miners/ibelink/bm-k1-1";"iBeLink";"BM-K1+";"BM-K1 PLUS";"September 2021";"2250W";"15.19";"-6.48";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"8.55,8.49,7.51,7.96,5.88,7.73,8.91,10.08,10.98,11.24,11.36,11.99,11.27,10.69,11.86,11.8,12.8,14.11,14.12,12.89,12.52,12.72,13.45,14.71,15.33,17.31,17.4,17.78,17.85,16.67,18.85,22.61,21.75,22.3,13.57,14.57,8.82,13.19,19.02,21.77,24.13,26.91,27.48,31.38,31.45,30.59,30.67,30.54,32.26,37.38,39.7,40.49,43.32,42.51,46.16,46.06,45.74,49.21,50.8,50.1,48.24,50.71,50.65,51.35,53.11,51.44,51.08,53.9,60.8,59.98,62.98,63.26,68.23,73.46,73.65,73.79,71.9,64.76,66.75,66.21,68.4,70.81,67.8,67.34,66.83,63.88,61.69,61.53,60.58,62.14,64.01"
"17/06/2022 19:56:49";"https://www.asicminervalue.com/miners/bitmain/antminer-s19-xp-140th";"Bitmain";"Antminer S19 XP (140Th)";"S19XP";"July 2022";"3010W";"12.52";"-8.67";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"3.83,4.19,4.09,4.83,6.13,8.2,8.95,9.44,9.8,9.93,9.66,10.41,9.54,9.46,9.64,9.85,10.48,10.95,10.55,9.55,9.55,9.51,9.93,9.68,9.03,9.39,9.23,8.82,9.11,9.3,9.09,9.63,9.52,9.25,9.06,9.58,8.5,10.29,11.36,12.15,13.43,14.6,14.87,16.19,15.89,15.65,15.8,15.55,15.95,16.69,16.64,17.1,18.13,17.79,18.05,18.59,18.21,19.33,19.37,18.44,17.87,18.03,18.36,18.64,18.95,18.62,17.77,18.3,19.56,19.76,20.64,20.43,21.35,24.14,22.99,22.45,23.36,22.07,23.7,24.73,24.39,24.32,22.28,21.53,22.19,21.57,20.29,20.32,19.17,19.58,19.88"
"17/06/2022 19:56:53";"https://www.asicminervalue.com/miners/goldshell/kd2";"Goldshell";"KD2";"KD2 Kadena miner";"March 2021";"830W";"6.08";"-2.39";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"3.62,3.6,3.21,3.39,2.55,3.29,3.76,4.23,4.59,4.7,4.74,5,4.71,4.48,4.94,4.92,5.32,5.85,5.85,5.36,5.21,5.29,5.58,6.08,6.33,7.12,7.16,7.31,7.34,6.87,7.74,9.24,8.9,9.12,5.63,6.03,3.73,5.48,7.81,8.91,9.85,10.97,11.19,12.75,12.78,12.44,12.47,12.42,13.11,15.15,16.08,16.4,17.53,17.2,18.67,18.63,18.5,19.89,20.52,20.24,19.5,20.49,20.46,20.74,21.45,20.78,20.63,21.76,24.52,24.19,25.39,25.5,27.49,29.58,29.66,29.72,28.96,26.11,26.9,26.69,27.56,28.53,27.32,27.14,26.93,25.75,24.88,24.81,24.44,25.06,25.81"
"17/06/2022 19:56:58";"https://www.asicminervalue.com/miners/ibelink/bm-k1";"iBeLink";"BM-K1";"November 2020";"131 x 157 x 299mm";"835W";"5.37";"-2.40";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"2.91,2.88,2.54,2.7,1.96,2.62,3.03,3.45,3.76,3.85,3.9,4.12,3.87,3.66,4.07,4.05,4.41,4.87,4.88,4.44,4.31,4.38,4.64,5.08,5.3,6,6.03,6.17,6.19,5.78,6.54,7.87,7.57,7.76,4.68,5.03,3,4.55,6.6,7.58,8.41,9.39,9.6,10.97,11,10.69,10.72,10.68,11.28,13.09,13.91,14.19,15.19,14.9,16.2,16.16,16.05,17.27,17.83,17.59,16.93,17.8,17.78,18.03,18.65,18.06,17.93,18.93,21.37,21.08,22.14,22.24,23.99,25.84,25.91,25.96,25.29,22.77,23.47,23.28,24.05,24.91,23.84,23.68,23.5,22.46,21.68,21.62,21.29,21.84,22.5"
"17/06/2022 19:57:02";"https://www.asicminervalue.com/miners/bitmain/antminer-s19-pro-hyd-198th";"Bitmain";"Antminer S19 Pro+ Hyd (198Th)";"j0-10";"May 2022";"5445W";"17.66";"-15.68";"1655424000000,1655337600000,1655251200000,1655164800000,1655078400000,1654992000000,1654905600000,1654819200000,1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000";"1.99,2.5,2.36,3.41,5.25,8.18,9.24,9.92,10.44,10.63,10.24,11.3,10.07,9.96,10.21,10.5,11.4,12.06,11.5,10.09,10.08,10.03,10.62,10.27,9.35,9.86,9.63,9.06,9.46,9.73,9.43,10.2,10.04,9.66,9.39,10.13,8.6,11.12,12.65,13.77,15.58,17.23,17.61,19.48,19.06,18.72,18.92,18.57,19.14,20.18,20.12,20.77,22.23,21.75,22.1,22.88,22.33,23.92,23.97,22.66,21.85,22.08,22.55,22.94,23.38,22.92,21.71,22.47,24.24,24.53,25.77,25.47,26.77,30.72,29.09,28.33,29.62,27.79,30.1,31.55,31.07,30.97,28.09,27.02,27.96,27.09,25.27,25.31,23.69,24.27,24.69"
