"dateaccessed";"url";"articleTitle"
"13/06/2022 21:13:56";"https://en.wikipedia.org/wiki/Arithmetic_mean";"Arithmetic mean"
"13/06/2022 21:13:58";"https://en.wikipedia.org/wiki/Mean";"Mean"
"13/06/2022 21:14:17";"https://en.wikipedia.org/wiki/Statistics";"Statistics"
"13/06/2022 21:14:36";"https://en.wikipedia.org/wiki/Experiment";"Experiment"
"13/06/2022 21:14:41";"https://en.wikipedia.org/wiki/Observational_study";"Observational study"
"13/06/2022 21:14:46";"https://en.wikipedia.org/wiki/Survey_(statistics)";"Survey methodology"
"14/06/2022 18:43:32";"https://en.wikipedia.org/wiki/Geometric_mean";"Geometric mean"
"13/06/2022 21:14:58";"https://en.wikipedia.org/wiki/Harmonic_mean";"Harmonic mean"
"13/06/2022 21:15:45";"https://en.wikipedia.org/wiki/Central_tendency";"Central tendency"
"13/06/2022 21:15:52";"https://en.wikipedia.org/wiki/Robust_statistic";"Robust statistics"
"13/06/2022 21:16:04";"https://en.wikipedia.org/wiki/Skewed_distribution";"Skewness"
"13/06/2022 21:16:16";"https://en.wikipedia.org/wiki/Median";"Median"
"13/06/2022 21:16:42";"https://en.wikipedia.org/wiki/Statistical_population";"Statistical population"
"13/06/2022 21:16:48";"https://en.wikipedia.org/wiki/Population_mean";"Statistical population"
"14/06/2022 18:43:40";"https://en.wikipedia.org/wiki/Sampling_(statistics)";"Sampling (statistics)"
"13/06/2022 21:18:13";"https://en.wikipedia.org/wiki/Errors_and_residuals_in_statistics";"Errors and residuals"
"14/06/2022 18:47:24";"https://en.wikipedia.org/wiki/Unbiased_estimate";"Bias of an estimator"
"13/06/2022 21:19:08";"https://en.wikipedia.org/wiki/Log-normal_distribution";"Log-normal distribution"
"13/06/2022 21:19:16";"https://en.wikipedia.org/wiki/Skewness";"Skewness"
"13/06/2022 21:19:22";"https://en.wikipedia.org/wiki/Mode_(statistics)";"Mode (statistics)"
"13/06/2022 21:19:39";"https://en.wikipedia.org/wiki/Continuous_probability_distribution";"Probability distribution"
"13/06/2022 21:20:26";"https://en.wikipedia.org/wiki/Statistical_dispersion";"Statistical dispersion"
"13/06/2022 21:21:56";"https://en.wikipedia.org/wiki/Euro_coins";"Euro coins"
"13/06/2022 21:23:05";"https://en.wikipedia.org/wiki/Standard_deviation";"Standard deviation"
"13/06/2022 21:23:12";"https://en.wikipedia.org/wiki/Standard_error_of_the_mean";"Standard error"
"13/06/2022 21:23:19";"https://en.wikipedia.org/wiki/Summary_statistics";"Summary statistics"
"13/06/2022 21:24:43";"https://en.wikipedia.org/wiki/Template:Statistics";"Template:Statistics"
"13/06/2022 21:25:04";"https://en.wikipedia.org/wiki/Outline_of_statistics";"Outline of statistics"
"13/06/2022 21:25:41";"https://en.wikipedia.org/wiki/List_of_statistics_articles";"List of statistics articles"
"13/06/2022 21:25:49";"https://en.wikipedia.org/wiki/Descriptive_statistics";"Descriptive statistics"
"13/06/2022 21:26:02";"https://en.wikipedia.org/wiki/Heinz_mean";"Heinz mean"
"13/06/2022 21:26:09";"https://en.wikipedia.org/wiki/Average_absolute_deviation";"Average absolute deviation"
"13/06/2022 21:26:18";"https://en.wikipedia.org/wiki/Coefficient_of_variation";"Coefficient of variation"
"14/06/2022 18:43:49";"https://en.wikipedia.org/wiki/Interquartile_range";"Interquartile range"
"14/06/2022 18:43:51";"https://en.wikipedia.org/wiki/Percentile";"Percentile"
"14/06/2022 18:43:53";"https://en.wikipedia.org/wiki/Range_(statistics)";"Range (statistics)"
"14/06/2022 18:43:55";"https://en.wikipedia.org/wiki/Variance";"Variance"
"14/06/2022 18:43:58";"https://en.wikipedia.org/wiki/Shape_of_the_distribution";"Shape of a probability distribution"
"14/06/2022 18:44:00";"https://en.wikipedia.org/wiki/Central_limit_theorem";"Central limit theorem"
"14/06/2022 18:44:01";"https://en.wikipedia.org/wiki/Moment_(mathematics)";"Moment (mathematics)"
"14/06/2022 18:44:04";"https://en.wikipedia.org/wiki/Kurtosis";"Kurtosis"
"14/06/2022 18:44:06";"https://en.wikipedia.org/wiki/L-moment";"L-moment"
"14/06/2022 18:44:08";"https://en.wikipedia.org/wiki/Index_of_dispersion";"Index of dispersion"
"14/06/2022 18:44:10";"https://en.wikipedia.org/wiki/Contingency_table";"Contingency table"
"14/06/2022 18:44:12";"https://en.wikipedia.org/wiki/Frequency_distribution";"Frequency (statistics)"
"14/06/2022 18:44:13";"https://en.wikipedia.org/wiki/Grouped_data";"Grouped data"
"14/06/2022 18:44:15";"https://en.wikipedia.org/wiki/Correlation_and_dependence";"Correlation"
"14/06/2022 18:44:17";"https://en.wikipedia.org/wiki/Partial_correlation";"Partial correlation"
"14/06/2022 18:44:19";"https://en.wikipedia.org/wiki/Pearson_correlation_coefficient";"Pearson correlation coefficient"
"14/06/2022 18:44:21";"https://en.wikipedia.org/wiki/Rank_correlation";"Rank correlation"
"14/06/2022 18:44:24";"https://en.wikipedia.org/wiki/Kendall_rank_correlation_coefficient";"Kendall rank correlation coefficient"
"14/06/2022 18:44:25";"https://en.wikipedia.org/wiki/Spearman's_rank_correlation_coefficient";"Spearman's rank correlation coefficient"
"14/06/2022 18:44:27";"https://en.wikipedia.org/wiki/Scatter_plot";"Scatter plot"
"14/06/2022 18:44:30";"https://en.wikipedia.org/wiki/Statistical_graphics";"Statistical graphics"
"14/06/2022 18:44:31";"https://en.wikipedia.org/wiki/Bar_chart";"Bar chart"
"14/06/2022 18:44:33";"https://en.wikipedia.org/wiki/Biplot";"Biplot"
"14/06/2022 18:44:34";"https://en.wikipedia.org/wiki/Box_plot";"Box plot"
"14/06/2022 18:44:36";"https://en.wikipedia.org/wiki/Control_chart";"Control chart"
"14/06/2022 18:44:38";"https://en.wikipedia.org/wiki/Correlogram";"Correlogram"
"14/06/2022 18:44:40";"https://en.wikipedia.org/wiki/Fan_chart_(statistics)";"Fan chart (statistics)"
"14/06/2022 18:44:43";"https://en.wikipedia.org/wiki/Forest_plot";"Forest plot"
"14/06/2022 18:44:44";"https://en.wikipedia.org/wiki/Histogram";"Histogram"
"14/06/2022 18:44:46";"https://en.wikipedia.org/wiki/Pie_chart";"Pie chart"
"14/06/2022 18:44:47";"https://en.wikipedia.org/wiki/Q–Q_plot";"Q–Q plot"
"14/06/2022 18:44:49";"https://en.wikipedia.org/wiki/Radar_chart";"Radar chart"
"14/06/2022 18:44:51";"https://en.wikipedia.org/wiki/Run_chart";"Run chart"
"14/06/2022 18:44:52";"https://en.wikipedia.org/wiki/Stem-and-leaf_display";"Stem-and-leaf display"
"14/06/2022 18:44:54";"https://en.wikipedia.org/wiki/Violin_plot";"Violin plot"
"14/06/2022 18:44:56";"https://en.wikipedia.org/wiki/Data_collection";"Data collection"
"14/06/2022 18:44:57";"https://en.wikipedia.org/wiki/Design_of_experiments";"Design of experiments"
"14/06/2022 18:44:59";"https://en.wikipedia.org/wiki/Effect_size";"Effect size"
"14/06/2022 18:45:02";"https://en.wikipedia.org/wiki/Missing_data";"Missing data"
"14/06/2022 18:45:04";"https://en.wikipedia.org/wiki/Optimal_design";"Optimal design"
"14/06/2022 18:45:05";"https://en.wikipedia.org/wiki/Replication_(statistics)";"Replication (statistics)"
"14/06/2022 18:45:08";"https://en.wikipedia.org/wiki/Sample_size_determination";"Sample size determination"
"14/06/2022 18:45:10";"https://en.wikipedia.org/wiki/Statistic";"Statistic"
"14/06/2022 18:45:11";"https://en.wikipedia.org/wiki/Statistical_power";"Power of a test"
"14/06/2022 18:45:13";"https://en.wikipedia.org/wiki/Survey_methodology";"Survey methodology"
"14/06/2022 18:45:15";"https://en.wikipedia.org/wiki/Cluster_sampling";"Cluster sampling"
"14/06/2022 18:45:16";"https://en.wikipedia.org/wiki/Stratified_sampling";"Stratified sampling"
"14/06/2022 18:45:18";"https://en.wikipedia.org/wiki/Opinion_poll";"Opinion poll"
"14/06/2022 18:45:20";"https://en.wikipedia.org/wiki/Questionnaire";"Questionnaire"
"14/06/2022 18:45:21";"https://en.wikipedia.org/wiki/Standard_error";"Standard error"
"14/06/2022 18:45:23";"https://en.wikipedia.org/wiki/Blocking_(statistics)";"Blocking (statistics)"
"14/06/2022 18:45:24";"https://en.wikipedia.org/wiki/Factorial_experiment";"Factorial experiment"
"14/06/2022 18:45:27";"https://en.wikipedia.org/wiki/Interaction_(statistics)";"Interaction (statistics)"
"14/06/2022 18:45:28";"https://en.wikipedia.org/wiki/Random_assignment";"Random assignment"
"14/06/2022 18:45:30";"https://en.wikipedia.org/wiki/Randomized_controlled_trial";"Randomized controlled trial"
"14/06/2022 18:45:33";"https://en.wikipedia.org/wiki/Randomized_experiment";"Randomized experiment"
"14/06/2022 18:45:34";"https://en.wikipedia.org/wiki/Scientific_control";"Scientific control"
"14/06/2022 18:45:36";"https://en.wikipedia.org/wiki/Adaptive_clinical_trial";"Adaptive clinical trial"
"14/06/2022 18:45:37";"https://en.wikipedia.org/wiki/Stochastic_approximation";"Stochastic approximation"
"14/06/2022 18:45:39";"https://en.wikipedia.org/wiki/Up-and-Down_Designs";"Up-and-Down Designs"
"14/06/2022 18:45:41";"https://en.wikipedia.org/wiki/Cohort_study";"Cohort study"
"14/06/2022 18:45:43";"https://en.wikipedia.org/wiki/Cross-sectional_study";"Cross-sectional study"
"14/06/2022 18:45:46";"https://en.wikipedia.org/wiki/Natural_experiment";"Natural experiment"
"14/06/2022 18:45:47";"https://en.wikipedia.org/wiki/Quasi-experiment";"Quasi-experiment"
"14/06/2022 18:45:49";"https://en.wikipedia.org/wiki/Statistical_inference";"Statistical inference"
"14/06/2022 18:45:52";"https://en.wikipedia.org/wiki/Statistical_theory";"Statistical theory"
"14/06/2022 18:45:53";"https://en.wikipedia.org/wiki/Population_(statistics)";"Statistical population"
"14/06/2022 18:45:55";"https://en.wikipedia.org/wiki/Probability_distribution";"Probability distribution"
"14/06/2022 18:45:57";"https://en.wikipedia.org/wiki/Sampling_distribution";"Sampling distribution"
"14/06/2022 18:45:59";"https://en.wikipedia.org/wiki/Order_statistic";"Order statistic"
"14/06/2022 18:46:00";"https://en.wikipedia.org/wiki/Empirical_distribution_function";"Empirical distribution function"
"14/06/2022 18:46:02";"https://en.wikipedia.org/wiki/Density_estimation";"Density estimation"
"14/06/2022 18:46:05";"https://en.wikipedia.org/wiki/Statistical_model";"Statistical model"
