"dateaccessed";"url";"articleTitle"
"20/06/2022 09:32:05";"https://en.wikipedia.org/wiki/Main_Page";"Main Page"
"20/06/2022 09:32:12";"https://en.wikipedia.org/wiki/Wikipedia";"Wikipedia"
"20/06/2022 09:32:17";"https://en.wikipedia.org/wiki/Free_content";"Free content"
"20/06/2022 09:32:21";"https://en.wikipedia.org/wiki/Encyclopedia";"Encyclopedia"
"20/06/2022 09:32:24";"https://en.wikipedia.org/wiki/Help:Introduction_to_Wikipedia";"Help:Introduction to Wikipedia"
"20/06/2022 09:32:28";"https://en.wikipedia.org/wiki/Special:Statistics";"Statistics"
"20/06/2022 09:32:41";"https://en.wikipedia.org/wiki/English_language";"English language"
"20/06/2022 09:32:45";"https://en.wikipedia.org/wiki/File:Hironobu_Sakaguchi_in_2015_(16102150083)_(cropped).jpg";"File:Hironobu Sakaguchi in 2015 (16102150083) (cropped).jpg"
"20/06/2022 09:32:50";"https://en.wikipedia.org/wiki/Final_Fantasy_Tactics";"Final Fantasy Tactics"
"20/06/2022 09:32:58";"https://en.wikipedia.org/wiki/Tactical_role-playing_game";"Tactical role-playing game"
"20/06/2022 09:33:04";"https://en.wikipedia.org/wiki/Square_(video_game_company)";"Square (video game company)"
"20/06/2022 09:33:15";"https://en.wikipedia.org/wiki/PlayStation_(console)";"PlayStation (console)"
"20/06/2022 09:33:25";"https://en.wikipedia.org/wiki/Sony_Interactive_Entertainment";"Sony Interactive Entertainment"
"20/06/2022 09:33:35";"https://en.wikipedia.org/wiki/Final_Fantasy";"Final Fantasy"
"20/06/2022 09:33:41";"https://en.wikipedia.org/wiki/Ivalice";"Ivalice"
"20/06/2022 09:33:45";"https://en.wikipedia.org/wiki/Yasumi_Matsuno";"Yasumi Matsuno"
"20/06/2022 09:33:51";"https://en.wikipedia.org/wiki/Hironobu_Sakaguchi";"Hironobu Sakaguchi"
"20/06/2022 09:33:55";"https://en.wikipedia.org/wiki/Hiroyuki_Ito";"Hiroyuki Ito"
"20/06/2022 09:34:00";"https://en.wikipedia.org/wiki/Cult_following";"Cult following"
"20/06/2022 09:34:45";"https://en.wikipedia.org/wiki/List_of_video_games_considered_the_best";"List of video games considered the best"
"20/06/2022 09:34:50";"https://en.wikipedia.org/wiki/Video_game_remake";"Video game remake"
"20/06/2022 09:34:55";"https://en.wikipedia.org/wiki/Final_Fantasy_Tactics:_The_War_of_the_Lions";"Final Fantasy Tactics: The War of the Lions"
"20/06/2022 09:35:21";"https://en.wikipedia.org/wiki/Wikipedia:Featured_topics";"Wikipedia:Featured topics"
"20/06/2022 09:35:25";"https://en.wikipedia.org/wiki/Wikipedia:Featured_topics/Ivalice";"Wikipedia:Featured topics/Ivalice"
"20/06/2022 09:35:32";"https://en.wikipedia.org/wiki/1838_Jesuit_slave_sale";"1838 Jesuit slave sale"
"20/06/2022 09:35:40";"https://en.wikipedia.org/wiki/Frank_Russell,_2nd_Earl_Russell";"Frank Russell, 2nd Earl Russell"
"20/06/2022 09:35:48";"https://en.wikipedia.org/wiki/Battle_of_St._Charles";"Battle of St. Charles"
