"dateaccessed";"url";"manufacturer";"model";"alsoKnownAs";"releaseDate";"power";"incomePDay";"electricityPDay";"graphlabels";"graphdata"
"09/06/2022 17:15:19";"https://www.asicminervalue.com/miners/bitmain/antminer-l7-9-5gh";"Bitmain";"Antminer L7 (9.5Gh)";"Antminer L7 9500Mh";"November 2021";"3425W";"27.68";"-9.86";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"18.94,18.91,18.45,20.41,20.38,20.13,19.81,19.04,20.35,21.69,20.56,18.94,18.76,18.09,19.05,20.72,20.31,22.08,22.01,21.73,22.58,22.5,23.05,24.11,22.09,22.49,21.96,22.93,18.29,24.51,26.77,28.99,32.9,33.86,34,36.27,35.85,35.07,35.54,34.95,36.45,37.31,40.33,40.54,42.19,38.43,37.67,38.86,39.42,41.29,42.08,41.24,40.23,41.33,41.49,41.56,39.59,40.08,39.24,41.07,43.14,41.68,43.64,41.26,46.18,46.77,45.86,46.19,46.86,45.57,47.27,48.27,48.91,50.31,46.06,45.15,45.85,45.89,42.54,44.35,42.36,42.6,42.17,40.31,39.3,38.65,37.73,40.29,41.42,42.19,42.14"
"09/06/2022 17:17:50";"https://www.asicminervalue.com/miners/bitmain/antminer-e9-3gh";"Bitmain";"Antminer E9 (3Gh)";"Coming soon";"195 x 290 x 400mm";"2556W";"63.05";"-7.36";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"56.92,57.56,57.7,60.86,57.55,56.24,59.58,60.4,64.19,67.64,63.54,58.74,59.23,57.58,63.66,66.1,64.56,68.61,66.12,63.64,66.18,64.86,67.21,70.97,69.99,69.59,70.69,73.46,78.2,82.39,84.56,83.53,91.58,96.51,99.3,105.58,103.33,101.34,103.92,129.45,106.32,109.65,111.94,110.82,111.91,108.97,108.95,109.07,113.68,116.34,118.13,114.06,109.26,114.15,117.39,116.59,118.68,116.8,116.48,117.85,124.98,127.52,125.34,124.87,128.55,138.41,138.57,137.55,136.04,130.26,131.13,129.2,133.6,138.5,126.82,121.02,118.92,119.45,113.58,115.5,109.93,111.97,112.72,117.15,114.61,103.67,100.08,99.6,101.01,97.95,101.31"
"09/06/2022 17:17:59";"https://www.asicminervalue.com/miners/jasminer/x4";"Jasminer";"X4";"SUNLUNE JASMINER X4 ETCHASH SERVER";"November 2021";"1200W";"816.04";"-3.46";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"50.11,50.65,50.76,53.4,50.63,49.55,52.33,53.01,56.17,59.05,55.62,51.63,52.03,50.66,55.72,57.76,56.48,59.85,57.78,55.72,57.83,56.73,58.68,61.82,61,60.67,61.59,63.89,67.85,71.34,73.15,72.29,78.99,83.11,85.42,90.67,88.79,87.13,89.27,110.55,91.28,94.06,95.96,95.03,95.94,93.49,93.47,93.57,97.41,99.63,101.12,97.73,93.73,97.8,100.51,99.83,101.58,100.01,99.74,100.88,106.83,108.95,107.13,106.73,109.8,118.02,118.15,117.3,116.05,111.23,111.95,110.35,114.01,118.09,108.36,103.53,101.78,102.22,97.33,98.93,94.29,95.99,96.61,100.3,98.19,89.07,86.07,85.67,86.86,84.3,87.1"
"09/06/2022 17:18:10";"https://www.asicminervalue.com/miners/goldshell/kd-max";"Goldshell";"KD Max";"June 2022";"200 x 264 x 290mm";"3350W";"46.56";"-9.65";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"37.24,37.83,38.16,39.84,37.92,36.36,39.5,39.34,42.01,45.53,45.57,42.26,41.28,41.8,43.77,47.13,48.79,54.1,54.35,55.37,55.56,52.4,58.23,68.3,66.01,67.47,44.08,46.76,31.35,43.07,58.68,66.07,72.38,79.84,81.37,91.8,92,89.7,89.92,89.57,94.19,107.88,114.11,116.22,123.83,121.64,131.44,131.16,130.3,139.61,143.86,142,136.99,143.62,143.46,145.33,150.05,145.57,144.6,152.17,170.65,168.45,176.5,177.25,190.58,204.58,205.09,205.48,200.41,181.28,186.6,185.17,191.04,197.5,189.42,188.18,186.81,178.92,173.04,172.61,170.08,174.26,178.47,177.05,181.5,171.55,171.27,176.8,184.42,194.68,196.14"
"09/06/2022 17:18:27";"https://www.asicminervalue.com/miners/ibelink/bm-k1-max";"iBeLink";"BM-K1 Max";"BM-K1 Max Kadena";"June 2022";"3200W";"37.06";"-9.22";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"28.1,28.58,28.84,30.18,28.65,27.4,29.9,29.78,31.9,34.71,34.74,32.1,31.32,31.74,33.31,35.98,37.31,41.53,41.73,42.54,42.69,40.17,44.82,52.83,51.01,52.18,33.56,35.69,23.42,32.75,45.18,51.06,56.08,62.02,63.24,71.54,71.7,69.87,70.05,69.76,73.44,84.34,89.3,90.98,97.03,95.29,103.09,102.87,102.18,109.6,112.98,111.5,107.51,112.79,112.66,114.15,117.91,114.34,113.57,119.59,134.31,132.56,138.96,139.56,150.17,161.31,161.72,162.03,157.99,142.76,147,145.87,150.54,155.68,149.25,148.26,147.17,140.89,136.2,135.86,133.85,137.18,140.53,139.4,142.95,135.02,134.8,139.2,145.27,153.43,154.59"
"09/06/2022 17:18:42";"https://www.asicminervalue.com/miners/goldshell/kd6";"Goldshell";"KD6";"KD6 Kadena miner";"April 2022";"2630W";"33.82";"-7.37";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"26.68,27.11,27.35,28.57,27.18,26.04,28.32,28.21,30.15,32.71,32.73,30.33,29.62,30,31.43,33.87,35.08,38.93,39.12,39.86,39.99,37.69,41.93,49.25,47.58,48.65,31.66,33.6,22.41,30.92,42.26,47.63,52.21,57.63,58.74,66.32,66.46,64.79,64.95,64.7,68.05,78,82.52,84.05,89.58,87.99,95.11,94.9,94.28,101.05,104.13,102.78,99.14,103.96,103.84,105.2,108.63,105.37,104.67,110.17,123.59,121.99,127.84,128.38,138.07,148.23,148.61,148.89,145.2,131.31,135.17,134.14,138.4,143.09,137.22,136.32,135.33,129.6,125.32,125.01,123.18,126.21,129.27,128.24,131.47,124.24,124.04,128.06,133.59,141.04,142.1"
"09/06/2022 17:18:59";"https://www.asicminervalue.com/miners/innosilicon/a11-pro-eth-1500mh";"Innosilicon";"A11 Pro ETH (1500Mh)";"A11 Pro ETHMiner 8G 1500Mh";"November 2021";"2350W";"32.09";"-6.77";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"25.37,25.69,25.76,27.34,25.69,25.03,26.7,27.11,29.01,30.73,28.68,26.29,26.53,25.7,28.74,29.96,29.19,31.22,29.97,28.73,30,29.34,30.52,32.4,31.91,31.71,32.26,33.64,36.01,38.11,39.19,38.68,42.7,45.17,46.56,49.71,48.58,47.58,48.87,61.64,50.07,51.74,52.88,52.32,52.87,51.4,51.39,51.45,53.75,55.08,55.98,53.94,51.54,53.99,55.61,55.21,56.25,55.31,55.15,55.84,59.4,60.67,59.58,59.35,61.19,66.12,66.2,65.69,64.93,62.04,62.48,61.51,63.71,66.16,60.32,57.42,56.37,56.64,53.7,54.66,51.88,52.9,53.27,55.49,54.22,48.75,46.95,46.71,47.42,45.89,47.57"
"09/06/2022 17:19:13";"https://www.asicminervalue.com/miners/bitmain/antminer-l7-9-16gh";"Bitmain";"Antminer L7 (9.16Gh)";"Antminer L7 9160Mh";"November 2021";"3425W";"26.85";"-9.86";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"17.89,17.88,17.44,19.33,19.29,19.05,18.75,18.01,19.27,20.56,19.48,17.91,17.73,17.09,18.02,19.63,19.23,20.93,20.87,20.6,21.42,21.34,21.87,22.89,20.95,21.33,20.82,21.75,17.28,23.28,25.46,27.6,31.37,32.29,32.43,34.62,34.21,33.46,33.92,33.34,34.79,35.62,38.53,38.73,40.33,36.7,35.97,37.11,37.66,39.46,40.22,39.41,38.44,39.5,39.65,39.72,37.82,38.29,37.48,39.25,41.24,39.83,41.73,39.43,44.17,44.75,43.87,44.18,44.83,43.58,45.23,46.19,46.81,48.16,44.06,43.19,43.86,43.89,40.66,42.41,40.49,40.72,40.3,38.51,37.54,36.91,36.03,38.5,39.58,40.32,40.27"
"09/06/2022 17:19:31";"https://www.asicminervalue.com/miners/bitmain/antminer-l7-9-05gh";"Bitmain";"Antminer L7 (9.05Gh)";"Antminer L7 9050Mh";"February 2022";"3425W";"26.53";"-9.86";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"17.56,17.55,17.11,18.98,18.94,18.71,18.41,17.67,18.92,20.19,19.12,17.58,17.4,16.77,17.68,19.27,18.88,20.56,20.5,20.24,21.04,20.96,21.49,22.5,20.58,20.95,20.46,21.37,16.96,22.88,25.03,27.15,30.88,31.79,31.92,34.08,33.68,32.94,33.39,32.82,34.26,35.07,37.95,38.15,39.72,36.15,35.42,36.55,37.09,38.87,39.62,38.82,37.86,38.91,39.05,39.13,37.25,37.72,36.91,38.66,40.62,39.24,41.11,38.84,43.52,44.09,43.22,43.54,44.18,42.94,44.56,45.52,46.12,47.46,43.41,42.55,43.21,43.24,40.05,41.78,39.88,40.11,39.7,37.93,36.97,36.35,35.48,37.92,38.99,39.72,39.67"
"09/06/2022 17:19:47";"https://www.asicminervalue.com/miners/bitmain/antminer-d7-1286gh";"Bitmain";"Antminer D7 (1286Gh)";"Antminer D7 1.286Th";"October 2021";"3148W";"395.28";"-9.07";"1654732800000,1654646400000,1654560000000,1654473600000,1654387200000,1654300800000,1654214400000,1654128000000,1654041600000,1653955200000,1653868800000,1653782400000,1653696000000,1653609600000,1653523200000,1653436800000,1653350400000,1653264000000,1653177600000,1653091200000,1653004800000,1652918400000,1652832000000,1652745600000,1652659200000,1652572800000,1652486400000,1652400000000,1652313600000,1652227200000,1652140800000,1652054400000,1651968000000,1651881600000,1651795200000,1651708800000,1651622400000,1651536000000,1651449600000,1651363200000,1651276800000,1651190400000,1651104000000,1651017600000,1650931200000,1650844800000,1650758400000,1650672000000,1650585600000,1650499200000,1650412800000,1650326400000,1650240000000,1650153600000,1650067200000,1649980800000,1649894400000,1649808000000,1649721600000,1649635200000,1649548800000,1649462400000,1649376000000,1649289600000,1649203200000,1649116800000,1649030400000,1648944000000,1648857600000,1648771200000,1648684800000,1648598400000,1648512000000,1648425600000,1648339200000,1648252800000,1648166400000,1648080000000,1647993600000,1647907200000,1647820800000,1647734400000,1647648000000,1647561600000,1647475200000,1647388800000,1647302400000,1647216000000,1647129600000,1647043200000,1646956800000";"16.56,16.69,16.31,17.35,16.14,16.04,16.28,9.55,9.47,7.64,7.33,6.08,5.86,4.62,6.85,7.12,7.31,6.95,4.5,6.05,6.66,5.78,7.31,6.08,5.75,5.49,5.25,5.67,4.37,6.17,8.88,10.16,11.48,11.62,11.24,13.43,16.96,14.61,16.8,16.08,17.53,15.11,15.89,15.92,15.52,17.65,15.17,14.96,14.93,17.82,16.8,17.72,17.14,16.37,15.48,15.39,14.3,13.39,14.06,15.67,15.52,16.31,14.53,15.39,16.85,16.6,21.92,20.36,19.61,19.92,19.33,18.1,18.77,16.51,15.82,16.73,17.8,17.8,20.86,19.92,17.27,16.14,15.09,14.95,11.7,12.04,13.13,11.81,12,11.1,12.4"
