"dateaccessed";"url";"articleTitle"
"29/07/2022 20:53:00";"https://en.wikipedia.org/wiki/Statistics";"Statistics"
"29/07/2022 20:53:07";"https://en.wikipedia.org/wiki/Outline_of_statistics";"Outline of statistics"
"29/07/2022 20:53:16";"https://en.wikipedia.org/wiki/Glossary_of_probability_and_statistics";"Glossary of probability and statistics"
"29/07/2022 20:53:19";"https://en.wikipedia.org/wiki/Notation_in_probability_and_statistics";"Notation in probability and statistics"
"29/07/2022 20:53:26";"https://en.wikipedia.org/wiki/Lists_of_statistics_topics";"Lists of statistics topics"
"29/07/2022 20:53:36";"https://en.wikipedia.org/wiki/List_of_statistics_articles";"List of statistics articles"
"29/07/2022 20:54:16";"https://en.wikipedia.org/wiki/Central_limit_theorem";"Central limit theorem"
"29/07/2022 20:54:22";"https://en.wikipedia.org/wiki/Scatter_plot";"Scatter plot"
"29/07/2022 20:54:30";"https://en.wikipedia.org/wiki/Data";"Data"
"29/07/2022 20:54:34";"https://en.wikipedia.org/wiki/Statistical_population";"Statistical population"
"29/07/2022 20:54:38";"https://en.wikipedia.org/wiki/Statistical_model";"Statistical model"
"29/07/2022 20:54:42";"https://en.wikipedia.org/wiki/Statistical_survey";"Survey methodology"
"29/07/2022 20:54:46";"https://en.wikipedia.org/wiki/Experimental_design";"Design of experiments"
"29/07/2022 20:54:51";"https://en.wikipedia.org/wiki/Census";"Census"
"29/07/2022 20:54:54";"https://en.wikipedia.org/wiki/Statistician";"Statistician"
"29/07/2022 20:54:58";"https://en.wikipedia.org/wiki/Sample_(statistics)";"Sampling (statistics)"
"29/07/2022 20:55:03";"https://en.wikipedia.org/wiki/Experimental_study";"Experiment"
"29/07/2022 20:55:07";"https://en.wikipedia.org/wiki/Observational_study";"Observational study"
"29/07/2022 20:55:16";"https://en.wikipedia.org/wiki/Descriptive_statistics";"Descriptive statistics"
"29/07/2022 20:55:22";"https://en.wikipedia.org/wiki/Mean";"Mean"
"29/07/2022 20:55:27";"https://en.wikipedia.org/wiki/Standard_deviation";"Standard deviation"
"29/07/2022 20:55:31";"https://en.wikipedia.org/wiki/Statistical_inference";"Statistical inference"
"29/07/2022 20:55:35";"https://en.wikipedia.org/wiki/Central_tendency";"Central tendency"
"29/07/2022 20:55:38";"https://en.wikipedia.org/wiki/Statistical_dispersion";"Statistical dispersion"
"29/07/2022 20:55:42";"https://en.wikipedia.org/wiki/Mathematical_statistics";"Mathematical statistics"
"29/07/2022 20:55:50";"https://en.wikipedia.org/wiki/Statistical_hypothesis_testing";"Statistical hypothesis testing"
"29/07/2022 20:55:54";"https://en.wikipedia.org/wiki/Alternative_hypothesis";"Alternative hypothesis"
"29/07/2022 20:55:57";"https://en.wikipedia.org/wiki/Null_hypothesis";"Null hypothesis"
"29/07/2022 20:56:01";"https://en.wikipedia.org/wiki/Type_I_error";"Type I and type II errors"
"29/07/2022 20:56:05";"https://en.wikipedia.org/wiki/Type_II_error";"Type I and type II errors"
"29/07/2022 20:56:12";"https://en.wikipedia.org/wiki/Missing_data";"Missing data"
"29/07/2022 20:56:16";"https://en.wikipedia.org/wiki/Censoring_(statistics)";"Censoring (statistics)"
"29/07/2022 20:56:29";"https://en.wikipedia.org/wiki/Continuous_probability_distribution";"Probability distribution"
"29/07/2022 20:56:33";"https://en.wikipedia.org/wiki/Categorical_data";"Categorical variable"
"29/07/2022 20:56:37";"https://en.wikipedia.org/wiki/Sampling_(statistics)";"Sampling (statistics)"
"29/07/2022 20:56:41";"https://en.wikipedia.org/wiki/Experiment";"Experiment"
"29/07/2022 20:56:45";"https://en.wikipedia.org/wiki/Inferential_statistics";"Statistical inference"
"29/07/2022 20:56:49";"https://en.wikipedia.org/wiki/Hypothesis_testing";"Statistical hypothesis testing"
"29/07/2022 20:56:56";"https://en.wikipedia.org/wiki/Association_(statistics)";"Correlation"
"29/07/2022 20:57:00";"https://en.wikipedia.org/wiki/Correlation_and_dependence";"Correlation"
"29/07/2022 20:57:05";"https://en.wikipedia.org/wiki/Regression_analysis";"Regression analysis"
"29/07/2022 20:57:13";"https://en.wikipedia.org/wiki/Prediction";"Prediction"
"29/07/2022 20:57:24";"https://en.wikipedia.org/wiki/Time_series";"Time series"
"29/07/2022 20:58:15";"https://en.wikipedia.org/wiki/History_of_statistics";"History of statistics"
"29/07/2022 20:58:19";"https://en.wikipedia.org/wiki/Founders_of_statistics";"Founders of statistics"
"29/07/2022 20:59:11";"https://en.wikipedia.org/wiki/Sample_size";"Sample size determination"
"29/07/2022 20:59:50";"https://en.wikipedia.org/wiki/Method_of_least_squares";"Least squares"
"29/07/2022 21:00:14";"https://en.wikipedia.org/wiki/Correlation";"Correlation"
"29/07/2022 21:00:19";"https://en.wikipedia.org/wiki/Pearson_product-moment_correlation_coefficient";"Pearson correlation coefficient"
"29/07/2022 21:00:23";"https://en.wikipedia.org/wiki/Method_of_moments_(statistics)";"Method of moments (statistics)"
"29/07/2022 21:00:36";"https://en.wikipedia.org/wiki/Biostatistics";"Biostatistics"
"29/07/2022 21:00:55";"https://en.wikipedia.org/wiki/Ronald_Fisher";"Ronald Fisher"
"29/07/2022 21:01:12";"https://en.wikipedia.org/wiki/Variance";"Variance"
"29/07/2022 21:01:22";"https://en.wikipedia.org/wiki/Design_of_experiments";"Design of experiments"
"29/07/2022 21:01:27";"https://en.wikipedia.org/wiki/Sufficiency_(statistics)";"Sufficient statistic"
"29/07/2022 21:01:35";"https://en.wikipedia.org/wiki/Linear_discriminant_analysis";"Linear discriminant analysis"
"29/07/2022 21:02:56";"https://en.wikipedia.org/wiki/Type_I_and_type_II_errors";"Type I and type II errors"
"29/07/2022 21:03:01";"https://en.wikipedia.org/wiki/Power_of_a_test";"Power of a test"
"29/07/2022 21:03:05";"https://en.wikipedia.org/wiki/Confidence_interval";"Confidence interval"
"29/07/2022 21:03:32";"https://en.wikipedia.org/wiki/Statistical_data";"Data"
"29/07/2022 21:03:47";"https://en.wikipedia.org/wiki/Statistical_theory";"Statistical theory"
"29/07/2022 21:03:51";"https://en.wikipedia.org/wiki/Sampling_distribution";"Sampling distribution"
"29/07/2022 21:03:56";"https://en.wikipedia.org/wiki/Sample_statistic";"Statistic"
"29/07/2022 21:04:20";"https://en.wikipedia.org/wiki/Inductive_reasoning";"Inductive reasoning"
"29/07/2022 21:04:44";"https://en.wikipedia.org/wiki/Dependent_and_independent_variables";"Dependent and independent variables"
"29/07/2022 21:04:49";"https://en.wikipedia.org/wiki/Scientific_control";"Scientific control"
"29/07/2022 21:04:56";"https://en.wikipedia.org/wiki/Randomized_controlled_trial";"Randomized controlled trial"
"29/07/2022 21:05:00";"https://en.wikipedia.org/wiki/Natural_experiment";"Natural experiment"
"29/07/2022 21:05:27";"https://en.wikipedia.org/wiki/Blocking_(statistics)";"Blocking (statistics)"
"29/07/2022 21:05:32";"https://en.wikipedia.org/wiki/Confounding_variable";"Confounding"
"29/07/2022 21:05:37";"https://en.wikipedia.org/wiki/Randomized_assignment";"Random assignment"
"29/07/2022 21:05:41";"https://en.wikipedia.org/wiki/Bias_of_an_estimator";"Bias of an estimator"
"29/07/2022 21:05:52";"https://en.wikipedia.org/wiki/Analysis_of_variance";"Analysis of variance"
"29/07/2022 21:06:18";"https://en.wikipedia.org/wiki/Double-blind";"Blinded experiment"
"29/07/2022 21:06:29";"https://en.wikipedia.org/wiki/Cohort_study";"Cohort study"
"29/07/2022 21:06:46";"https://en.wikipedia.org/wiki/Levels_of_measurement";"Level of measurement"
"29/07/2022 21:06:50";"https://en.wikipedia.org/wiki/Level_of_measurement";"Level of measurement"
"29/07/2022 21:07:37";"https://en.wikipedia.org/wiki/Categorical_variable";"Categorical variable"
"29/07/2022 21:07:46";"https://en.wikipedia.org/wiki/Probability_distribution";"Probability distribution"
