"dateaccessed";"url";"articleTitle"
"11/06/2022 12:39:00";"https://en.wikipedia.org/wiki/First-order_logic";"First-order logic"
"11/06/2022 12:39:05";"https://en.wikipedia.org/wiki/Formal_system";"Formal system"
"11/06/2022 12:39:08";"https://en.wikipedia.org/wiki/Mathematics";"Mathematics"
"11/06/2022 12:39:32";"https://en.wikipedia.org/wiki/Finitary_relation";"Finitary relation"
"11/06/2022 12:39:36";"https://en.wikipedia.org/wiki/Predicate_(mathematical_logic)";"Predicate (mathematical logic)"
"11/06/2022 12:39:39";"https://en.wikipedia.org/wiki/Deductive_system";"Formal system"
"11/06/2022 12:39:45";"https://en.wikipedia.org/wiki/Logical_consequence";"Logical consequence"
"11/06/2022 12:39:54";"https://en.wikipedia.org/wiki/Proof_theory";"Proof theory"
"11/06/2022 12:39:58";"https://en.wikipedia.org/wiki/Compactness_theorem";"Compactness theorem"
"11/06/2022 12:40:00";"https://en.wikipedia.org/wiki/Axiomatic_system";"Axiomatic system"
"11/06/2022 12:40:22";"https://en.wikipedia.org/wiki/Categorical_theory";"Categorical theory"
"11/06/2022 12:40:24";"https://en.wikipedia.org/wiki/Second-order_logic";"Second-order logic"
"11/06/2022 12:41:01";"https://en.wikipedia.org/wiki/True_(logic)";"Logical truth"
"11/06/2022 12:41:38";"https://en.wikipedia.org/wiki/Alphabet_(formal_languages)";"Alphabet (formal languages)"
"11/06/2022 12:42:08";"https://en.wikipedia.org/wiki/Non-logical_symbols";"Non-logical symbol"
"11/06/2022 12:42:11";"https://en.wikipedia.org/wiki/Signature_(logic)";"Signature (logic)"
"11/06/2022 12:42:14";"https://en.wikipedia.org/wiki/Arity";"Arity"
"11/06/2022 12:42:16";"https://en.wikipedia.org/wiki/Predicate_symbol";"Predicate variable"
"11/06/2022 12:42:28";"https://en.wikipedia.org/wiki/Empty_set";"Empty set"
"11/06/2022 12:42:30";"https://en.wikipedia.org/wiki/Uncountable";"Uncountable set"
"11/06/2022 12:42:32";"https://en.wikipedia.org/wiki/Propositional_variable";"Propositional variable"
"11/06/2022 12:42:41";"https://en.wikipedia.org/wiki/Arithmetic";"Arithmetic"
"11/06/2022 12:42:43";"https://en.wikipedia.org/wiki/Power_set";"Power set"
"11/06/2022 12:42:58";"https://en.wikipedia.org/wiki/Formation_rule";"Formation rule"
"11/06/2022 12:43:05";"https://en.wikipedia.org/wiki/Term_(logic)";"Term (logic)"
"11/06/2022 12:43:12";"https://en.wikipedia.org/wiki/Formula_(mathematical_logic)";"Well-formed formula"
"11/06/2022 12:43:14";"https://en.wikipedia.org/wiki/Well-formed_formula";"Well-formed formula"
"11/06/2022 12:43:18";"https://en.wikipedia.org/wiki/Atomic_formula";"Atomic formula"
"11/06/2022 12:43:36";"https://en.wikipedia.org/wiki/Sentence_(mathematical_logic)";"Sentence (mathematical logic)"
"11/06/2022 12:43:38";"https://en.wikipedia.org/wiki/Truth_value";"Truth value"
"11/06/2022 12:43:50";"https://en.wikipedia.org/wiki/Interpretation_(logic)";"Interpretation (logic)"
"11/06/2022 12:43:53";"https://en.wikipedia.org/wiki/Formal_semantics_(logic)";"Semantics of logic"
"11/06/2022 12:44:08";"https://en.wikipedia.org/wiki/Structure_(mathematical_logic)";"Structure (mathematical logic)"
"11/06/2022 12:44:39";"https://en.wikipedia.org/wiki/Tautology_(logic)";"Tautology (logic)"
"11/06/2022 12:45:12";"https://en.wikipedia.org/wiki/Atomic_sentence";"Atomic sentence"
"11/06/2022 12:45:21";"https://en.wikipedia.org/wiki/Ordered_pair";"Ordered pair"
"11/06/2022 12:45:28";"https://en.wikipedia.org/wiki/Axiom";"Axiom"
"11/06/2022 12:45:30";"https://en.wikipedia.org/wiki/Recursively_enumerable";"Computably enumerable"
"11/06/2022 12:45:37";"https://en.wikipedia.org/wiki/Model_theory";"Model theory"
"11/06/2022 12:45:40";"https://en.wikipedia.org/wiki/Intended_interpretation";"Interpretation (logic)"
"11/06/2022 12:45:43";"https://en.wikipedia.org/wiki/Nonstandard_model";"Non-standard model"
"11/06/2022 12:45:47";"https://en.wikipedia.org/wiki/Complete_theory";"Complete theory"
"11/06/2022 12:46:10";"https://en.wikipedia.org/wiki/Hilbert-style_deductive_system";"Hilbert system"
"11/06/2022 12:46:14";"https://en.wikipedia.org/wiki/Natural_deduction";"Natural deduction"
"11/06/2022 12:46:25";"https://en.wikipedia.org/wiki/Mathematical_proofs";"Mathematical proof"
"11/06/2022 12:46:29";"https://en.wikipedia.org/wiki/List_of_rules_of_inference";"List of rules of inference"
"11/06/2022 12:46:33";"https://en.wikipedia.org/wiki/Rule_of_inference";"Rule of inference"
"11/06/2022 12:47:49";"https://en.wikipedia.org/wiki/Decision_procedure";"Decision problem"
"11/06/2022 12:48:02";"https://en.wikipedia.org/wiki/Entscheidungsproblem";"Entscheidungsproblem"
"11/06/2022 12:48:14";"https://en.wikipedia.org/wiki/Monadic_predicate_logic";"Monadic predicate calculus"
"11/06/2022 12:48:57";"https://en.wikipedia.org/wiki/Lindstr%C3%B6m%27s_theorem";"Lindström's theorem"
"11/06/2022 12:49:08";"https://en.wikipedia.org/wiki/Morley%27s_categoricity_theorem";"Categorical theory"
"11/06/2022 12:51:21";"https://en.wikipedia.org/wiki/Decision_problem";"Decision problem"
"11/06/2022 12:52:23";"https://en.wikipedia.org/wiki/Type_(model_theory)";"Type (model theory)"
