"dateaccessed";"url";"articleTitle"
"11/06/2022 12:18:59";"https://en.wikipedia.org/wiki/Hurricane_Leslie_(2018)";"Hurricane Leslie (2018)"
"11/06/2022 12:19:14";"https://en.wikipedia.org/wiki/Wikipedia:Featured_articles";"Wikipedia:Featured articles"
"11/06/2022 12:19:16";"https://en.wikipedia.org/wiki/Tropical_Storm_Leslie";"Tropical Storm Leslie"
"11/06/2022 12:19:18";"https://en.wikipedia.org/wiki/File:Leslie_2018-10-11_1515Z.jpg";"File:Leslie 2018-10-11 1515Z.jpg"
"11/06/2022 12:19:22";"https://en.wikipedia.org/wiki/Azores";"Azores"
"11/06/2022 12:19:26";"https://en.wikipedia.org/wiki/Extratropical_cyclone";"Extratropical cyclone"
"11/06/2022 12:19:29";"https://en.wikipedia.org/wiki/Tropical_cyclone_scales#Wind_speed_conversions";"Tropical cyclone scales"
"11/06/2022 12:19:31";"https://en.wikipedia.org/wiki/Bar_(unit)";"Bar (unit)"
"11/06/2022 12:19:33";"https://en.wikipedia.org/wiki/Pascal_(unit)";"Pascal (unit)"
"11/06/2022 12:19:35";"https://en.wikipedia.org/wiki/Inch_of_mercury";"Inch of mercury"
"11/06/2022 12:19:41";"https://en.wikipedia.org/wiki/United_States_dollar";"United States dollar"
"11/06/2022 12:19:48";"https://en.wikipedia.org/wiki/Bermuda";"Bermuda"
"11/06/2022 12:19:52";"https://en.wikipedia.org/wiki/East_Coast_of_the_United_States";"East Coast of the United States"
"11/06/2022 12:19:56";"https://en.wikipedia.org/wiki/Madeira";"Madeira"
"11/06/2022 12:20:04";"https://en.wikipedia.org/wiki/Iberian_Peninsula";"Iberian Peninsula"
"11/06/2022 12:20:21";"https://en.wikipedia.org/wiki/France";"France"
"11/06/2022 12:20:25";"https://en.wikipedia.org/wiki/2018_Atlantic_hurricane_season";"2018 Atlantic hurricane season"
"11/06/2022 12:20:29";"https://en.wikipedia.org/wiki/2018%E2%80%9319_European_windstorm_season";"2018–19 European windstorm season"
"11/06/2022 12:20:34";"https://en.wikipedia.org/wiki/Cyclone";"Cyclone"
"11/06/2022 12:20:40";"https://en.wikipedia.org/wiki/Tropical_cyclone";"Tropical cyclone"
"11/06/2022 12:20:43";"https://en.wikipedia.org/wiki/Tropical_cyclone_effects_in_Europe#Pre-1900";"Tropical cyclone effects in Europe"
"11/06/2022 12:20:46";"https://en.wikipedia.org/wiki/Named_storm";"Tropical cyclone naming"
"11/06/2022 12:20:53";"https://en.wikipedia.org/wiki/Atlantic";"Atlantic Ocean"
"11/06/2022 12:20:56";"https://en.wikipedia.org/wiki/Subtropical_cyclone";"Subtropical cyclone"
"11/06/2022 12:20:58";"https://en.wikipedia.org/wiki/Beaufort_scale";"Beaufort scale"
"11/06/2022 12:21:01";"https://en.wikipedia.org/wiki/Bay_of_Biscay";"Bay of Biscay"
"11/06/2022 12:21:04";"https://en.wikipedia.org/wiki/Aon_(company)";"Aon (company)"
"11/06/2022 12:21:08";"https://en.wikipedia.org/wiki/Tropical_cyclone_warnings_and_watches#Western_hemisphere";"Tropical cyclone warnings and watches"
"11/06/2022 12:21:10";"https://en.wikipedia.org/wiki/Madeira_Island";"Madeira Island"
"11/06/2022 12:21:20";"https://en.wikipedia.org/wiki/Catalonia";"Catalonia"
"11/06/2022 12:21:26";"https://en.wikipedia.org/wiki/Aude";"Aude"
