"dateaccessed";"url";"teamName";"teamFullName"
"18/09/2022 10:50:41";"https://en.wikipedia.org/wiki/List_of_football_clubs_in_Italy";"List of football clubs in Italy";""
"18/09/2022 10:50:47";"https://en.wikipedia.org/wiki/Football_(soccer)";"Association football";"FIFA"
"18/09/2022 10:50:52";"https://en.wikipedia.org/wiki/Football_in_Italy";"Football in Italy";""
"18/09/2022 10:51:02";"https://en.wikipedia.org/wiki/Serie_A";"Serie A";"Lega Serie A"
"18/09/2022 10:51:11";"https://en.wikipedia.org/wiki/2022–23_Serie_A";"2022–23 Serie A";"13 August 2022 – 4 June 2023"
"18/09/2022 10:51:16";"https://en.wikipedia.org/wiki/List_of_Italian_Football_Championship_clubs";"List of Italian Football Championship clubs";""
"18/09/2022 10:51:25";"https://en.wikipedia.org/wiki/Atalanta_B.C.";"Atalanta B.C.";"Atalanta Bergamasca Calcio S.p.A."
"18/09/2022 10:51:32";"https://en.wikipedia.org/wiki/Bergamo";"Bergamo";""
"18/09/2022 10:51:36";"https://en.wikipedia.org/wiki/Stadio_Atleti_Azzurri_d'Italia";"Stadio Atleti Azzurri d'Italia";""
"18/09/2022 10:51:43";"https://en.wikipedia.org/wiki/2021-22_Serie_A";"2021–22 Serie A";"21 August 2021 – 22 May 2022"
"18/09/2022 10:51:50";"https://en.wikipedia.org/wiki/Bologna_F.C._1909";"Bologna F.C. 1909";"Bologna Football Club 1909 S.p.A."
"18/09/2022 10:51:58";"https://en.wikipedia.org/wiki/Bologna";"Bologna";""
"18/09/2022 10:52:02";"https://en.wikipedia.org/wiki/Stadio_Renato_Dall'Ara";"Stadio Renato Dall'Ara";""
"18/09/2022 10:52:08";"https://en.wikipedia.org/wiki/U.S._Cremonese";"U.S. Cremonese";"Unione Sportiva Cremonese S.p.A."
"18/09/2022 10:52:14";"https://en.wikipedia.org/wiki/Cremona";"Cremona";""
"18/09/2022 10:52:17";"https://en.wikipedia.org/wiki/Stadio_Giovanni_Zini";"Stadio Giovanni Zini";""
"18/09/2022 10:52:24";"https://en.wikipedia.org/wiki/2021-22_Serie_B";"2021–22 Serie B";"Regular season:
20 August 2021 – 6 May 2022
Play-offs and play-outs:
13 May 2022 – 29 May 2022"
"18/09/2022 10:52:30";"https://en.wikipedia.org/wiki/Empoli_F.C.";"Empoli F.C.";"Empoli Football Club S.p.A."
"18/09/2022 10:52:34";"https://en.wikipedia.org/wiki/Empoli";"Empoli";""
"18/09/2022 10:52:38";"https://en.wikipedia.org/wiki/Metropolitan_City_of_Florence";"Metropolitan City of Florence";""
"18/09/2022 10:52:42";"https://en.wikipedia.org/wiki/Stadio_Carlo_Castellani";"Stadio Carlo Castellani";""
"18/09/2022 10:52:50";"https://en.wikipedia.org/wiki/ACF_Fiorentina";"ACF Fiorentina";"ACF Fiorentina S.p.A.[1][2]"
"18/09/2022 10:53:00";"https://en.wikipedia.org/wiki/Florence";"Florence";""
