"dateaccessed";"url";"teamFullName";"clubPresident"
"10/06/2022 13:09:53";"https://en.wikipedia.org/wiki/Atalanta_B.C.";"Atalanta Bergamasca Calcio S.p.A.";"Antonio Percassi"
"10/06/2022 13:10:12";"https://en.wikipedia.org/wiki/Bologna_F.C._1909";"Bologna Football Club 1909 S.p.A.";"Joey Saputo"
"10/06/2022 13:10:25";"https://en.wikipedia.org/wiki/U.S._Cremonese";"Unione Sportiva Cremonese S.p.A.";"Paolo Rossi"
"10/06/2022 13:10:42";"https://en.wikipedia.org/wiki/Empoli_F.C.";"Empoli Football Club S.p.A.";"Fabrizio Corsi"
"10/06/2022 13:10:58";"https://en.wikipedia.org/wiki/ACF_Fiorentina";"ACF Fiorentina S.p.A.[1][2]";"Rocco B. Commisso"
"10/06/2022 13:11:14";"https://en.wikipedia.org/wiki/Hellas_Verona_F.C.";"Hellas Verona Football Club S.p.A.";"Maurizio Setti"
"10/06/2022 13:11:30";"https://en.wikipedia.org/wiki/Inter_Milan";"Football Club Internazionale Milano S.p.A.[1]";"Steven Zhang[7]"
"10/06/2022 13:11:57";"https://en.wikipedia.org/wiki/Juventus_F.C.";"Juventus Football Club S.p.A.";"Andrea Agnelli"
"10/06/2022 13:12:17";"https://en.wikipedia.org/wiki/S.S._Lazio";"Società Sportiva Lazio S.p.A.";"Claudio Lotito"
"10/06/2022 13:12:41";"https://en.wikipedia.org/wiki/US_Lecce";"Unione Sportiva Lecce S.p.A.";"Saverio Sticchi Damiani"
"10/06/2022 13:12:58";"https://en.wikipedia.org/wiki/S.S._Monza_1912";"Associazione Calcio Monza S.p.A.";"Paolo Berlusconi"
"10/06/2022 13:13:16";"https://en.wikipedia.org/wiki/A.C._Milan";"Associazione Calcio Milan S.p.A.[1]";"Paolo Scaroni"
"10/06/2022 13:13:24";"https://en.wikipedia.org/wiki/S.S.C._Napoli";"Società Sportiva Calcio Napoli S.p.A.";"Aurelio De Laurentiis"
"10/06/2022 13:13:48";"https://en.wikipedia.org/wiki/A.S._Roma";"Associazione Sportiva Roma S.p.A.";"Dan Friedkin"
"10/06/2022 13:13:54";"https://en.wikipedia.org/wiki/Salernitana_Calcio";"Unione Sportiva Salernitana 1919 S.r.l.";"Davide Nicola"
"10/06/2022 13:14:09";"https://en.wikipedia.org/wiki/U.C._Sampdoria";"Unione Calcio Sampdoria S.p.A.";"Marco Lanna"
"10/06/2022 13:14:29";"https://en.wikipedia.org/wiki/U.S._Sassuolo_Calcio";"Unione Sportiva Sassuolo
Calcio S.r.l.";"Carlo Rossi"
"10/06/2022 13:14:42";"https://en.wikipedia.org/wiki/Spezia_Calcio";"Spezia Calcio";"Philip Raymond Platek Jr."
"10/06/2022 13:14:57";"https://en.wikipedia.org/wiki/Torino_F.C.";"Torino Football Club S.p.A.";"Urbano Cairo"
"10/06/2022 13:15:09";"https://en.wikipedia.org/wiki/Udinese_Calcio";"Udinese Calcio S.p.A.";"Franco Soldati"
"10/06/2022 13:15:37";"https://en.wikipedia.org/wiki/Ascoli_Picchio_F.C._1898";"Ascoli Calcio 1898 F.C. S.p.A.";"Carlo Neri"
"10/06/2022 13:15:50";"https://en.wikipedia.org/wiki/S.S.C._Bari";"Società Sportiva Calcio Bari SpA[1]";"Luigi De Laurentiis"
